N=512
t_seq=0.0602106
threads,t_thread,t_openmp
1,0.0600486,0.0527117
2,0.033168,0.027727
3,0.019079,0.0282903
4,0.0213069,0.0169782
5,0.0190582,0.0173933
6,0.0199207,0.0161618
7,0.0166951,0.0138654
8,0.0148519,0.0118914
9,0.0128805,0.0112638
10,0.0117903,0.00953823
11,0.0106691,0.0106316
12,0.00847285,0.00953347
13,0.00961924,0.0089396
14,0.00943966,0.0113652
15,0.00942773,0.00915573
